,text
0,RT @OniJoseph: Angela Davis: ‘We knew the role of the police was to protect white supremacy’ #BlackHistoryMonth #cdnpolitics #cdnpoli #Blac…
1,RT @hestertainment: Breonna Taylor is being celebrated on #Idol this eve. WOW. #BlackLivesMatter #ForBreonna #SayHerName #TheNextIdol 🖤💚❤
2,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
3,RT @joesteel80: Putin must have said the US invaded Mexico took over its territory but they worried about Russia invading #Ukraine .#BlackL…
4,"ding... ding &amp; ding ding ding ding... Ding^ ding, ding ding! #PennState #BlackLivesMatter #JusticeForAll"
5,RT @OldMainBell: ding ding ding ding^ ding ding. DING^ DING &amp; ding #PennState #BlackLivesMatter #JusticeForAll
6,"@taylorfagins @AmericanIdol @ABCNetwork @katyperry @LionelRichie @lukebryan @RyanSeacrest OMG!! I cried and felt every word of your song! My husband and I were riveted, along with the judges!  Beautiful song! Thank you! 🖤 #BlackLivesMatter ##BlackHistoryMonth"
7,RT @CBHeresy: #BlackLivesMatter is the woman who starts crying about her divorce at your father's funeral. https://t.co/fDujI2duJi
8,"Just bawling 😰🥺 at this very REAL and beautiful, masterfully written song by this young man, @taylorfagins on @AmericanIdol. Yes #WeNeedMore. Extremely Powerful. Wow. You should hear his song.

#BHM
#BreonnaTaylor 
#BlackLivesMatter"
9,"#BlackLivesMatter
@Twitter
I raised a concern over Africans in Ukraine facing racism acts and you blocked me 

@UNSCO_MEPP @DefenceU @mfa_russia your doing a good job in Ukraine https://t.co/UXUN0sjklh"
10,RT @empiremike__: It's this simple our black brother and sisters are locked when cats and dogs of the whites are allowed to flee for safety…
11,@taylorfagins That was simply breathtaking and heartbreaking 💔 all at the same time. #AmericanIdol #BlackLivesMatter
12,"RT @Rica28896175: Stop racism In Ukraine 🇺🇦 
Discrimination and antagonism isn’t the way. 
#BlackLivesMatter #AfricansinUkraine #NigeriansI…"
13,"Angela Davis: ‘We knew the role of the police was to protect white supremacy’ #BlackHistoryMonth #cdnpolitics #cdnpoli #BlackLivesMatter #BlackTechTwitter #AfricansinUkraine 
https://t.co/Osjxv0wknf"
14,"RT @Dirtyp254: I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make…"
15,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
16,"RT @PiytahSebastian: It gonna be worse than before, we are coming for you UKRAINE. 

#istandwithrussia 
 #BlackLivesMatter"
17,"RT @Dirtyp254: I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make…"
18,@KimLoucks2 he's not awful he's amazing. Love his message he's singing about whats real #blacklivesmatter
19,Breonna Taylor is being celebrated on #Idol this eve. WOW. #BlackLivesMatter #ForBreonna #SayHerName #TheNextIdol 🖤💚❤
20,Putin must have said the US invaded Mexico took over its territory but they worried about Russia invading #Ukraine .#BlackLivesMatter .#UkraineRussiaWar .#CancelCulture ..
21,"ya i stand with #BlackLivesMatter and that LGBTQ+ lives matter, got a problem with it? (aimed)"
22,I love inspiring the youth 😍❤️ #Entrepreneur #BlackOwnedBusiness #BlackHistoryMonth #BlackLivesMatter https://t.co/pxtD2ulE7z
23,"RT @YH_INDIA: Saw videos of Ukranian army treating #indianstudentsinukraine &amp; #AfricansinUkraine badly.

I mean are they really doing this…"
24,"New oc! Roxxane:) I tried some filter cause I don’t like the original result
•
•
•
•
•
•
•
•
•
•
•
•
#digitalart 
#ibisPaintX 
#artistsontwitter 
#BlackLivesMatter 
#OC 
#aesthetic https://t.co/kyrjFwz0yl"
25,"RT @ericcoliu: @GilmoreGlenda explaining Jim Crow
to my freshman students
the gulf
between cries
of cicadas

Laurence Stacey https://t.co/w…"
26,"The news of #Ukraine doing partialities were coming before UNGC votes.
They are giving whites to escape first and forcing blacks n browns to stay .. One theory is also stating that they can use them as human shields or bargain safety passages. 

Anyone for #BlackLivesMatter"
27,RT @_SweatFitness: Survival is more important than the society.. Can't everyone just try and survive instead of being racist in war front??…
28,"Why do cases of missing Black women rarely make US headlines? | TV Shows | Al Jazeera #cdnpolitics #AfricansinUkraine #BlackLivesMatter #BlackHistoryMonth #BlackTechTwitter 
https://t.co/7FEgY3MXmP via @AJEnglish"
29,RT @WhiskeyWellness: When we say systemic racism around the world this is what we’re talking about 🥺 How do we know where our donations go?…
30,"RT @michelletauber: Tireless @MomsDemand warriors for our community. Honoring #TrayvonMartin with action every day, in the birthplace of #B…"
31,"RT @MOREFIREBAND1: More Fire Band - mkhondo town performance 26 February 2022 black live matter 
#Reggaemusic #reggae #morefireband #livepe…"
32,"RT @ggiittiikkaa: Africans are not being allowed to escape from Ukraine, as it's priority for others to be safe first. EU countries are not…"
33,"RT @Aakankshit2004: Umm.... Just.... Wtf..... 
#BlackLivesMatter 
#UkraineRussiaCrisis https://t.co/lKLHdkAUeO"
34,"RT @AdrblyFerocious: This is disturbing &amp; sickening. 🚨

Concerns mount as Black people report racism while fleeing #Ukraine. 

Scores of Af…"
