,Unnamed: 0,Title,Review,preprocessed CombinedString
0,0,A visual feast.,,
1,1,Next Phase,,
2,2,Bus Boy,,
3,3,Wow!,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.

Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.

I plan on seeing this again, just to understand a few bits a little more.

Go and watch it, you'll love it, 9/10.","I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.

Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.

I plan on seeing this again, just to understand a few bits a little more.

Go and watch it, you'll love it, 9/10."
4,4,Precious ... ten times,"Of course I am just riffing off, teasing and making fun of certain things with my summary line. Though there is some truth in there too - especially if you consider the last third of the movie - quite fantastical, pun intended.

But there is so much more here. And while you may have seen the bus scene already (I imagine many times), it still is quite the highlight and works wonders! Because there is even more to it than the trailer/teaser revealed! As is with the plot and the characters of the movie.

I was able to watch it on an Imax screen and let me tell you ... wow! But also wow and much respect to Marvel and Feige and anyone involved that they dared to make the first ten minutes or so in chinese! And throwing a lot of chinese terms (slang?) in there as well - throughout! That gives it a touch of authenticity. How immigrants in America or anywhere else in the world grew up. I do the same with my Greek and German/English.

It is also nice and while I am prone to be sarcastic, I really think it's a good thing to have such a major and big representation - especially nowadays with Anti-Asian hate/crime rising. All because of people blaming China and people of China for a virus ... the movie does not have that as a topic, it is entertainment after all, but in every promo and interview that the actors were involved it was something that was mentioned. Good for them and good for us, that this was made.

I am a bit biased when it comes to the MCU and this did get a pure theatrical release, instead of the Black Widow treatment (which also was available on Disney plus and the cinemas at the same time). So there is not issue when it comes to that. And if you can watch it on the big screen - you will not be dissapointed! Now waiting for the other stuff to drop ... especially after the mid credit scene, that is such a tease ... the after the credits scene might also hint at something, but the bigger tease was midway through the credits (actually almost at the beginning of them to be honest).

Sit back and enhoy the movie and the really funny characters ... and quite a few familiar faces. Some from the MCU and previous entries but also some from Asian cinema! Well done!","Of course I am just riffing off, teasing and making fun of certain things with my summary line. Though there is some truth in there too - especially if you consider the last third of the movie - quite fantastical, pun intended.

But there is so much more here. And while you may have seen the bus scene already (I imagine many times), it still is quite the highlight and works wonders! Because there is even more to it than the trailer/teaser revealed! As is with the plot and the characters of the movie.

I was able to watch it on an Imax screen and let me tell you ... wow! But also wow and much respect to Marvel and Feige and anyone involved that they dared to make the first ten minutes or so in chinese! And throwing a lot of chinese terms (slang?) in there as well - throughout! That gives it a touch of authenticity. How immigrants in America or anywhere else in the world grew up. I do the same with my Greek and German/English.

It is also nice and while I am prone to be sarcastic, I really think it's a good thing to have such a major and big representation - especially nowadays with Anti-Asian hate/crime rising. All because of people blaming China and people of China for a virus ... the movie does not have that as a topic, it is entertainment after all, but in every promo and interview that the actors were involved it was something that was mentioned. Good for them and good for us, that this was made.

I am a bit biased when it comes to the MCU and this did get a pure theatrical release, instead of the Black Widow treatment (which also was available on Disney plus and the cinemas at the same time). So there is not issue when it comes to that. And if you can watch it on the big screen - you will not be dissapointed! Now waiting for the other stuff to drop ... especially after the mid credit scene, that is such a tease ... the after the credits scene might also hint at something, but the bigger tease was midway through the credits (actually almost at the beginning of them to be honest).

Sit back and enhoy the movie and the really funny characters ... and quite a few familiar faces. Some from the MCU and previous entries but also some from Asian cinema! Well done!"
5,5,"""If you aim at nothing, you hit nothing.""",,
6,6,Shang-Chi and the Legend of the Ten Rings,,
7,7,The best Marvel movie so far...,"Having seen the trailer for the 2021 Marvel action movie ""Shang-Chi and the Legend of the Ten Rings"" I must admit that of course I was going to watch it, but I feared it would just be another run-of-the-mill-over-the-top-CGI-fest-but-barred-of-proper-contents Marvel movie. Yet, I opted to sit down and watch it, on the notion that it was a Marvel movie. But also because of the cast that starred in it.

And yeah, this movie was over the top in terms of CGI. Of course it was, because it is a Marvel movie after all. But luckily this movie broke the formula of the archetypical Marvel movie and this actually turned out to be the best Marvel movie so far. Well, at least in my opinion. Why? Well, because of the storyline and the fact that it mixed Asian culture and lore into the Marvel cinematic universe, and it was a much needed addition to an otherwise Western-focused series of movies.

The storyline told in ""Shang-Chi and the Legend of the Ten Rings"", as written by Dave Callaham, Destin Daniel Cretton and Andrew Lanham was certainly entertaining. And the movie didn't really have a dull moment, despite the fact that it was a movie that ran for 132 minutes. I thoroughly enjoyed the entire movie from beginning to end. And for me, this was a storyline with proper contents to it, that also included interesting characters and creatures.

Visually then ""Shang-Chi and the Legend of the Ten Rings"" blew me away. The CGI team really worked their magic with this movie and brought it to life in a very visually fulfilling way. Lots of nice details and jaw-dropping special effects. And the creature designs in the movie were off the charts, I really enjoyed seeing those brought to life on the screen.

The character gallery in ""Shang-Chi and the Legend of the Ten Rings"" was interesting, and that applies for both the villain and good guy side.

And they had such a great cast ensemble put together for ""Shang-Chi and the Legend of the Ten Rings"", with the likes of Asian cinema heavy weighters such as Tony Chiu-Wai Leung, Michelle Yeoh and Wah Yuen. But the movie was also nicely carried by Simu Liu, whom I was not familiar with prior to this movie. And also having Awkwafina in the movie was just brilliant, because she put on a spot on performance with her comedy sidekick character. And it was interesting and nice to see Ben Kingsley return to reprise his character of Trevor Slattery.

""Shang-Chi and the Legend of the Ten Rings"" is a good combination of action and narrative storytelling, which made for a very wholesome movie. And it should be said that the action sequences were breathtaking to behold, so very, very nicely choreographed and executed on the screen, taking that traditional Wuxia elements seen in Asian movies and mixing it in with the archetypical Marvel Western-based superhero movies.

I was more than genuinely entertained by ""Shang-Chi and the Legend of the Ten Rings"" and it is certainly a movie that bolsters Marvel's hold for me, as their movies tend to be super flashy with spectacular effects, but rather hollow in terms of proper entertainment and storytelling.

My rating of ""Shang-Chi and the Legend of the Ten Rings"" lands on a well-deserved nine out of ten stars. Director Destin Denial Cretton ensured that this 2021 movie takes the role of the single best Marvel movie to date for me.","Having seen the trailer for the 2021 Marvel action movie ""Shang-Chi and the Legend of the Ten Rings"" I must admit that of course I was going to watch it, but I feared it would just be another run-of-the-mill-over-the-top-CGI-fest-but-barred-of-proper-contents Marvel movie. Yet, I opted to sit down and watch it, on the notion that it was a Marvel movie. But also because of the cast that starred in it.

And yeah, this movie was over the top in terms of CGI. Of course it was, because it is a Marvel movie after all. But luckily this movie broke the formula of the archetypical Marvel movie and this actually turned out to be the best Marvel movie so far. Well, at least in my opinion. Why? Well, because of the storyline and the fact that it mixed Asian culture and lore into the Marvel cinematic universe, and it was a much needed addition to an otherwise Western-focused series of movies.

The storyline told in ""Shang-Chi and the Legend of the Ten Rings"", as written by Dave Callaham, Destin Daniel Cretton and Andrew Lanham was certainly entertaining. And the movie didn't really have a dull moment, despite the fact that it was a movie that ran for 132 minutes. I thoroughly enjoyed the entire movie from beginning to end. And for me, this was a storyline with proper contents to it, that also included interesting characters and creatures.

Visually then ""Shang-Chi and the Legend of the Ten Rings"" blew me away. The CGI team really worked their magic with this movie and brought it to life in a very visually fulfilling way. Lots of nice details and jaw-dropping special effects. And the creature designs in the movie were off the charts, I really enjoyed seeing those brought to life on the screen.

The character gallery in ""Shang-Chi and the Legend of the Ten Rings"" was interesting, and that applies for both the villain and good guy side.

And they had such a great cast ensemble put together for ""Shang-Chi and the Legend of the Ten Rings"", with the likes of Asian cinema heavy weighters such as Tony Chiu-Wai Leung, Michelle Yeoh and Wah Yuen. But the movie was also nicely carried by Simu Liu, whom I was not familiar with prior to this movie. And also having Awkwafina in the movie was just brilliant, because she put on a spot on performance with her comedy sidekick character. And it was interesting and nice to see Ben Kingsley return to reprise his character of Trevor Slattery.

""Shang-Chi and the Legend of the Ten Rings"" is a good combination of action and narrative storytelling, which made for a very wholesome movie. And it should be said that the action sequences were breathtaking to behold, so very, very nicely choreographed and executed on the screen, taking that traditional Wuxia elements seen in Asian movies and mixing it in with the archetypical Marvel Western-based superhero movies.

I was more than genuinely entertained by ""Shang-Chi and the Legend of the Ten Rings"" and it is certainly a movie that bolsters Marvel's hold for me, as their movies tend to be super flashy with spectacular effects, but rather hollow in terms of proper entertainment and storytelling.

My rating of ""Shang-Chi and the Legend of the Ten Rings"" lands on a well-deserved nine out of ten stars. Director Destin Denial Cretton ensured that this 2021 movie takes the role of the single best Marvel movie to date for me."
8,8,Very engaging plot with great visual effects,"I find this film very engaging from start to finish. I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.","I find this film very engaging from start to finish. I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film."
9,9,Ten Years too Late,,
10,10,Indeed legendary,"It's been ten years since Shang-Chi(Liu, charming, stoic) last saw his father, and leader of the criminal empire The Ten Rings, Wenwu(Leung, charismatic enough that we feel a lot of empathy for him, even when he does terrible things that we desperately want him to stop doing). That was also when he last spent time with his sister, Xialing(Zhang, a badass who deserves more screen time. Honestly, I'd be very surprised if she didn't, in future projects). He's joined by his friend Katy(Awkwafina, quirky, providing a lot of comic relief, something I'm told she's in general adept at), for what can best be described as a tense reunion, which allows the movie to really mine the family melodrama, one of the best elements it has. I won't give away exactly what the antagonist intends to do, only that our hero has to stop him. However, he has to figure out how, maybe even if, that is even possible.

Not quite, yet almost ""Black Panther for Asian audiences"", this does a lot for representation(including for women. Some of the best characters in this are female. In addition to the two that I've already mentioned, there is also Ying Nan(Yeoh, wise)), it is positively drenched in Chinese culture(the third act, while in ways it feels like it belongs to a completely different film than the first two, takes an especially deep dive into that. Ultimately, it is presented through a Western lens, and clearly we need to go further in this direction, still, it is a big deal that they put so much of it in an estimated $150 to 200 million major blockbuster, which will be seen by millions of people who would never consider watching an art picture, especially one focusing on a group they don't belong to), to the point where countless times, when it makes sense, major characters in this speak Mandarin to each other, rather than English, which it is subtitled into. And ""don't worry"", for those who think that the following is important: there are white people on screen, and they aren't made out to be ""less than"".

The action(each sequence of which feels distinct, belongs with the rest, and is memorable) pays tribute to many different kinds of martial arts films, acknowledging that they are standing on the shoulders of giants. Jackie Chan, wuxia, etc. The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is. That *is* why you hire Bill Pope, the director of photography on the Matrix trilogy, two of Sam Raimi's Spider-Man entries, Darkman and Team America. The special effects are excellent. There are some issues with pacing, and certainly a chunk of this is composed almost entirely of flashbacks.

This features relatively brief but highly concentrated, surprisingly graphic gore(you know, there was a time when the fact that it's happening to beings that clearly are not human, wasn't enough to get away with this kind of thing with a PG-13 rating. Pepperidge Farm remembers), as well as a little strong language. I recommend this to any fan of comic book movie adaptations, and people passionate about diversity hiring. 8/10.","It's been ten years since Shang-Chi(Liu, charming, stoic) last saw his father, and leader of the criminal empire The Ten Rings, Wenwu(Leung, charismatic enough that we feel a lot of empathy for him, even when he does terrible things that we desperately want him to stop doing). That was also when he last spent time with his sister, Xialing(Zhang, a badass who deserves more screen time. Honestly, I'd be very surprised if she didn't, in future projects). He's joined by his friend Katy(Awkwafina, quirky, providing a lot of comic relief, something I'm told she's in general adept at), for what can best be described as a tense reunion, which allows the movie to really mine the family melodrama, one of the best elements it has. I won't give away exactly what the antagonist intends to do, only that our hero has to stop him. However, he has to figure out how, maybe even if, that is even possible.

Not quite, yet almost ""Black Panther for Asian audiences"", this does a lot for representation(including for women. Some of the best characters in this are female. In addition to the two that I've already mentioned, there is also Ying Nan(Yeoh, wise)), it is positively drenched in Chinese culture(the third act, while in ways it feels like it belongs to a completely different film than the first two, takes an especially deep dive into that. Ultimately, it is presented through a Western lens, and clearly we need to go further in this direction, still, it is a big deal that they put so much of it in an estimated $150 to 200 million major blockbuster, which will be seen by millions of people who would never consider watching an art picture, especially one focusing on a group they don't belong to), to the point where countless times, when it makes sense, major characters in this speak Mandarin to each other, rather than English, which it is subtitled into. And ""don't worry"", for those who think that the following is important: there are white people on screen, and they aren't made out to be ""less than"".

The action(each sequence of which feels distinct, belongs with the rest, and is memorable) pays tribute to many different kinds of martial arts films, acknowledging that they are standing on the shoulders of giants. Jackie Chan, wuxia, etc. The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is. That *is* why you hire Bill Pope, the director of photography on the Matrix trilogy, two of Sam Raimi's Spider-Man entries, Darkman and Team America. The special effects are excellent. There are some issues with pacing, and certainly a chunk of this is composed almost entirely of flashbacks.

This features relatively brief but highly concentrated, surprisingly graphic gore(you know, there was a time when the fact that it's happening to beings that clearly are not human, wasn't enough to get away with this kind of thing with a PG-13 rating. Pepperidge Farm remembers), as well as a little strong language. I recommend this to any fan of comic book movie adaptations, and people passionate about diversity hiring. 8/10."
11,11,Very enjoyable,,
12,12,"Visually stunning, looking forward to the next one","Without spoiling anything as this story stands by itself there's going to be a sequel and I really look forward to that. It was that good in my humble opinion. Visually it was just stunning, great CGI's, very well choreographed fighting scenes, and a story that was most entertaining to watch. Some might find it over the top but it's a Marvel so what do you expect? To me this is one of Marvels best movies yet if not the best. The acting was good as well, and that from the whole cast. I never heard of Shang-Chi before but from now he has one more fan. Shang-Chi and the Legend of the Ten Rings won't disappoint a lot of people, unless you're just not into this genre of movies. A must see for the fans.","Without spoiling anything as this story stands by itself there's going to be a sequel and I really look forward to that. It was that good in my humble opinion. Visually it was just stunning, great CGI's, very well choreographed fighting scenes, and a story that was most entertaining to watch. Some might find it over the top but it's a Marvel so what do you expect? To me this is one of Marvels best movies yet if not the best. The acting was good as well, and that from the whole cast. I never heard of Shang-Chi before but from now he has one more fan. Shang-Chi and the Legend of the Ten Rings won't disappoint a lot of people, unless you're just not into this genre of movies. A must see for the fans."
13,13,great start but the fictionary world didn't fit in for me,"Started like a mix between martial art and the marvel universe. I found it something special and liked it a lot just until the journey starts and another world opens. From there on we came into a fiction world with dragons and monsters.

It's there that this flick lost my attention towards the story. It takes a while before the action comes back in. But once the fights are on, the effects are really stunning.

Mixed feelings aboutthe result, not bada fter all but with the other world coming in, it lost some points in the rating for me.

Nevertheless, some funny parts here and there added and they worked out fine.

Gore 0/5 Nudity 0/5 Effects 5/5 Story 3/5 Comedy 1/5.","Started like a mix between martial art and the marvel universe. I found it something special and liked it a lot just until the journey starts and another world opens. From there on we came into a fiction world with dragons and monsters.

It's there that this flick lost my attention towards the story. It takes a while before the action comes back in. But once the fights are on, the effects are really stunning.

Mixed feelings aboutthe result, not bada fter all but with the other world coming in, it lost some points in the rating for me.

Nevertheless, some funny parts here and there added and they worked out fine.

Gore 0/5 Nudity 0/5 Effects 5/5 Story 3/5 Comedy 1/5."
14,14,house of mouse and marvel,"This is the story of ten rings, weapons, used for thousands of years to take power and control. Shang chi ( simu liu, as chang xi ) accidentally gets pulled into the history, and can't turn back. Co-stars awkwafina, tony leung, both winners of TONS of film festival awards. Also ben kingsley... oscar for gandhi. Although he looks so different, you may not recognize kingsley in his role! It's a marvel story, from disney, so there's a good mix of adventure, violence, animation, levitation, and some jokes sprinkled here and there. The bad guys are collecting the pendants with the power, and cannot be allowed to gether them all. Surprisingly, a couple swears, giving it the PG13 rating. They meet good people that want to help them on their journey, and evil people that want to destroy them. Some fun special effects. Directed by destin cretton. Chang xi character created by steve englehart, jim starlin. It's quite good.","This is the story of ten rings, weapons, used for thousands of years to take power and control. Shang chi ( simu liu, as chang xi ) accidentally gets pulled into the history, and can't turn back. Co-stars awkwafina, tony leung, both winners of TONS of film festival awards. Also ben kingsley... oscar for gandhi. Although he looks so different, you may not recognize kingsley in his role! It's a marvel story, from disney, so there's a good mix of adventure, violence, animation, levitation, and some jokes sprinkled here and there. The bad guys are collecting the pendants with the power, and cannot be allowed to gether them all. Surprisingly, a couple swears, giving it the PG13 rating. They meet good people that want to help them on their journey, and evil people that want to destroy them. Some fun special effects. Directed by destin cretton. Chang xi character created by steve englehart, jim starlin. It's quite good."
